City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Meulaboh,24,ID,1547321173,100,4.14,96.13,78.02,2.48
Avera,90,US,1547318100,63,33.19,-82.53,51.8,8.05
Itarema,44,BR,1547321173,91,-2.92,-39.92,80.63,5.17
Ushuaia,75,AR,1547316900,93,-54.81,-68.31,42.8,38.03
Mansa,0,IN,1547319600,55,23.43,72.66,60.8,2.71
Kiunga,64,PG,1547321174,98,-6.12,141.3,73.74,2.15
Albany,20,US,1547316960,29,42.65,-73.75,24.98,8.05
Lorengau,44,PG,1547321175,100,-2.02,147.27,81.89,15.79
Hermanus,0,ZA,1547319034,50,-34.42,19.24,64.02,10.2
Mataura,100,NZ,1547319133,89,-46.19,168.86,44.22,3.15
Kapaa,1,US,1547315760,84,22.08,-159.32,68.0,9.17
Hasaki,90,JP,1547317800,86,35.73,140.83,39.2,8.05
Santiago del Estero,8,AR,1547321176,77,-27.8,-64.26,83.55,5.84
Rikitea,88,PF,1547319192,99,-23.12,-134.97,79.14,14.56
Alofi,0,NU,1547316000,78,-19.06,-169.92,77.0,8.05
Ribeira Grande,20,PT,1547316000,67,38.52,-28.7,62.6,24.16
Busselton,0,AU,1547319522,100,-33.64,115.35,64.47,18.48
Bluff,0,AU,1547319212,84,-23.58,149.07,69.15,7.18
Mount Isa,0,AU,1547319600,32,-20.73,139.49,84.2,6.93
Castro,75,CL,1547319600,62,-42.48,-73.76,59.0,9.17
Geraldton,5,CA,1547319600,45,49.72,-86.95,3.2,3.38
Riyadh,0,SA,1547319600,26,24.63,46.72,57.2,4.7
Isabela,36,PH,1547321178,96,10.2,122.99,72.08,2.82
Bredasdorp,0,ZA,1547316000,40,-34.53,20.04,69.8,12.75
Koslan,80,RU,1547321179,72,63.46,48.9,17.0,9.53
Amahai,8,ID,1547321179,100,-3.31,129.0,83.37,8.41
Nanortalik,92,GL,1547321179,92,60.14,-45.24,30.54,15.9
Chapais,90,CA,1547319600,77,49.78,-74.86,-0.41,10.29
Dikson,48,RU,1547319242,100,73.51,80.55,-17.03,31.79
Jamestown,0,AU,1547319024,41,-33.21,138.6,64.74,9.98
Los Llanos de Aridane,0,ES,1547319600,63,28.66,-17.92,64.4,5.82
Akureyri,90,IS,1547319600,94,65.68,-18.09,32.0,8.05
Fukue,20,JP,1547319600,69,35.03,136.69,39.2,6.93
Mitsamiouli,20,KM,1547316000,83,-11.38,43.28,80.6,3.36
Teluknaga,90,ID,1547319600,88,-6.1,106.64,78.8,4.7
Marica,20,BR,1547319600,70,-22.92,-42.82,89.6,14.99
Camacha,40,PT,1547317800,72,33.08,-16.33,64.4,16.11
Ancud,40,CL,1547316000,77,-41.87,-73.83,59.0,9.17
Coquimbo,0,CL,1547319600,56,-29.95,-71.34,69.8,14.99
Broome,75,GB,1547319420,87,52.47,1.45,46.4,14.99
Belaya Gora,44,RU,1547321183,0,68.54,146.19,-42.99,2.93
Yellowknife,75,CA,1547316000,83,62.45,-114.38,-7.61,10.29
Meridian,90,US,1547319360,89,32.36,-88.7,53.96,12.75
Moree,0,AU,1547319600,47,-29.46,149.84,75.2,8.05
Komsomolskiy,64,RU,1547321184,78,67.55,63.78,4.04,17.81
Victoria,75,BN,1547319600,88,5.28,115.24,80.6,2.24
Kendari,88,ID,1547321185,89,-3.99,122.52,76.58,2.48
Lompoc,75,US,1547318460,76,34.64,-120.46,57.92,6.93
Punta Arenas,75,CL,1547316000,43,-53.16,-70.91,51.8,39.15
Saldanha,0,PT,1547321186,92,41.42,-6.55,35.63,4.61
Vaini,0,IN,1547319245,87,15.34,74.49,62.72,2.15
Codrington,12,AU,1547320020,93,-28.95,153.24,64.4,2.37
Torres,92,BR,1547321187,100,-29.34,-49.73,74.19,5.5
Siuri,0,IN,1547321187,79,23.91,87.53,51.02,2.71
Batticaloa,92,LK,1547321187,100,7.71,81.69,73.52,3.15
Fare,92,PF,1547321188,100,-16.7,-151.02,82.11,21.61
Provideniya,0,RU,1547321188,100,64.42,-173.23,-11.45,15.57
Lavrentiya,12,RU,1547321188,90,65.58,-170.99,-10.55,24.52
Verkhoyansk,8,RU,1547321188,0,67.55,133.39,-48.48,2.59
Souillac,90,FR,1547319600,100,45.6,-0.6,42.8,5.82
Nikolskoye,75,RU,1547319600,92,59.7,30.79,21.2,13.42
Avarua,40,CK,1547316000,83,-21.21,-159.78,80.6,1.12
Georgetown,75,GY,1547319600,69,6.8,-58.16,84.2,13.87
Farafangana,64,MG,1547321190,100,-22.82,47.83,80.04,13.44
Port-Cartier,75,CA,1547316000,62,50.03,-66.88,23.0,8.05
Tuktoyaktuk,75,CA,1547316000,83,69.44,-133.03,-13.01,9.17
Lebu,0,ET,1547319600,24,8.96,38.73,55.4,3.36
Hilo,20,US,1547315580,86,19.71,-155.08,69.08,3.36
Gannan,0,CN,1547321191,70,47.92,123.49,1.47,8.63
Kudahuvadhoo,88,MV,1547321192,100,2.67,72.89,80.27,5.95
Upernavik,32,GL,1547319059,100,72.79,-56.15,-5.6,14.23
Karachi,0,PK,1547319300,48,24.87,67.03,64.4,4.7
Putina,75,PE,1547319600,39,-14.91,-69.87,62.6,4.7
Kahului,40,US,1547315760,84,20.89,-156.47,69.98,4.7
Jijiga,0,ET,1547321193,64,9.35,42.8,47.1,3.49
New Norfolk,20,AU,1547317800,87,-42.78,147.06,50.0,8.05
Benjamin Constant,75,BR,1547319600,78,-4.38,-70.03,82.4,4.7
Keta,20,GH,1547316000,83,5.92,0.99,84.2,10.29
Dingle,68,PH,1547321194,94,11.0,122.67,74.69,10.54
Bugiri,0,UG,1547321194,58,0.57,33.75,73.02,1.7
Bemidji,90,US,1547320500,91,47.48,-94.89,26.06,5.82
Chokurdakh,80,RU,1547321195,34,70.62,147.9,-22.7,5.73
Bontang,44,ID,1547321195,100,0.12,117.47,81.57,11.32
Ornskoldsvik,12,SE,1547319000,79,63.29,18.72,21.2,6.93
Atherton,90,GB,1547319000,81,53.52,-2.49,53.6,19.46
Barrow,24,AR,1547319174,68,-38.31,-60.23,83.64,13.56
Arraial do Cabo,20,BR,1547316000,70,-22.97,-42.02,89.6,17.22
Butaritari,68,KI,1547319028,100,3.07,172.79,82.88,10.98
Klaksvik,92,FO,1547317200,100,62.23,-6.59,42.8,12.75
Fairview,75,US,1547320500,30,40.81,-74.0,35.96,3.71
Paita,0,PE,1547319600,290,-5.09,-81.11,62.6,16.11
Zapolyarnyy,75,RU,1547319000,100,69.43,30.82,30.2,4.7
Vila,0,IT,1547319000,50,45.18,8.4,41.0,3.36
Lasa,20,CY,1547319600,76,34.92,32.53,55.4,9.17
Grammenitsa,40,GR,1547319000,65,39.18,20.98,46.4,5.82
Half Moon Bay,20,US,1547319360,66,37.46,-122.43,60.8,3.36
Ahipara,0,NZ,1547319506,100,-35.17,173.16,59.79,4.61
Zheleznodorozhnyy,90,RU,1547319600,85,55.75,38.0,15.8,6.71
Pisco,20,PE,1547319600,30,-13.71,-76.2,71.6,26.4
Batagay-Alyta,24,RU,1547321201,50,67.8,130.41,-31.83,3.71
Puerto Escondido,20,MX,1547318700,69,15.86,-97.07,82.4,9.17
Seoul,0,KR,1547319600,85,37.57,126.98,26.6,3.36
Qaanaaq,0,GL,1547319280,67,77.48,-69.36,-23.15,6.96
Isangel,12,VU,1547321202,100,-19.55,169.27,76.89,4.83
Sobolevo,88,RU,1547321202,92,54.43,31.9,25.95,12.44
Boca do Acre,64,BR,1547321202,93,-8.76,-67.39,78.69,1.92
Kargasok,12,RU,1547321203,35,59.06,80.87,-23.15,3.71
Abbeville,0,FR,1547319600,87,50.11,1.83,48.2,11.41
Beloha,80,MG,1547321203,95,-25.17,45.06,74.69,3.04
Mokrousovo,76,RU,1547321204,80,55.81,66.77,10.34,17.81
Samana,90,EC,1547319600,100,0.12,-76.97,71.6,3.36
Rio Cuarto,40,AR,1547319600,54,-33.13,-64.35,80.6,14.99
Lincoln,90,US,1547320500,94,40.8,-96.67,32.0,19.46
Cidreira,80,BR,1547319353,89,-30.17,-50.22,77.75,14.79
Hervey Bay,76,AU,1547319600,88,-25.3,152.85,68.0,6.93
Touros,75,BR,1547319600,74,-5.2,-35.46,82.4,13.87
Chunskiy,36,RU,1547321206,66,56.08,99.63,2.42,6.29
Ostrovnoy,88,RU,1547321206,93,68.05,39.51,19.47,4.83
Tvoroyri,92,FO,1547319000,93,61.56,-6.81,42.8,10.29
Saint-Louis,75,CH,1547319600,75,47.59,7.56,41.0,11.41
Faya,0,SA,1547319600,72,18.39,42.45,59.0,2.71
Tiksi,44,RU,1547321208,38,71.64,128.87,-25.13,11.1
Varhaug,75,NO,1547319000,87,58.61,5.65,44.6,14.99
Hereford,68,GB,1547321209,89,52.06,-2.72,46.25,17.69
Vardo,90,US,1547317200,44,39.62,-77.74,35.6,5.82
Salalah,0,OM,1547319000,24,17.01,54.1,78.8,9.17
Carnarvon,0,ZA,1547319236,35,-30.97,22.13,72.08,10.87
Cayenne,40,GF,1547317800,66,4.94,-52.33,84.2,12.75
Nevsehir,75,TR,1547319000,66,38.62,34.71,32.0,12.75
Makakilo City,75,US,1547319420,71,21.35,-158.09,75.92,3.36
Port Alfred,0,ZA,1547319307,82,-33.59,26.89,69.96,4.38
Steinkjer,75,NO,1547319000,95,64.02,11.49,33.8,4.7
Jumla,88,NP,1547321211,97,29.28,82.18,21.23,1.7
Puerto Ayora,20,EC,1547316000,65,-0.74,-90.35,82.4,6.93
Beipiao,0,CN,1547321212,53,41.8,120.76,19.25,9.64
Herat,0,AF,1547319300,80,34.35,62.22,35.6,2.24
Jinxiang,0,CN,1547321213,75,35.07,116.31,25.32,2.93
East London,75,ZA,1547316000,73,-33.02,27.91,69.8,8.05
Kloulklubed,90,PW,1547319000,94,7.04,134.26,75.2,8.05
Hobart,20,AU,1547317800,87,-42.88,147.33,50.0,8.05
Sioux Lookout,75,CA,1547319600,66,50.1,-91.92,14.0,5.82
Palmer,20,AU,1547319600,67,-34.85,139.16,60.8,14.99
Raudeberg,92,NO,1547319000,93,61.99,5.14,37.4,8.05
Mar del Plata,0,AR,1547319037,31,-46.43,-67.52,68.7,13.78
Ust-Nera,20,RU,1547321215,0,64.57,143.24,-41.73,1.92
Umm Kaddadah,8,SD,1547321215,47,13.6,26.69,65.55,6.62
Leningradskiy,8,RU,1547321216,100,69.38,178.42,-18.65,8.52
Dicabisagan,76,PH,1547321216,100,17.08,122.42,72.21,7.85
Atuona,92,PF,1547319235,100,-9.8,-139.03,79.86,16.24
Joshimath,76,IN,1547321217,92,30.57,79.57,8.0,1.36
Luderitz,32,NA,1547321217,87,-26.65,15.16,64.07,6.17
Kaitangata,68,NZ,1547321218,84,-46.28,169.85,48.23,3.83
North Bend,20,US,1547319360,68,43.41,-124.22,53.06,6.93
Luba,0,PH,1547321218,81,17.32,120.7,63.89,2.59
Auki,0,NG,1547321219,24,12.18,6.51,79.55,6.17
Tabanan,20,ID,1547319600,100,-8.54,115.13,78.8,0.69
Vanimo,64,PG,1547321219,100,-2.67,141.3,80.04,13.78
Mogadishu,0,SO,1547321220,99,2.04,45.34,79.59,24.07
Saint-Pierre,90,FR,1547319600,100,48.95,4.24,46.4,18.34
Mbandaka,8,CD,1547321221,91,0.05,18.26,77.57,2.15
Sjovegan,68,NO,1547319000,100,68.87,17.85,21.2,21.92
Port Elizabeth,1,US,1547315760,31,39.31,-74.98,33.08,4.7
Fortuna,0,ES,1547319600,68,38.18,-1.13,42.8,5.82
Cape Town,75,ZA,1547316000,60,-33.93,18.42,68.0,13.87
Viesca,5,MX,1547318400,52,25.34,-102.81,66.2,3.94
Simao,0,CN,1547321222,85,22.76,100.79,46.07,1.81
Nalut,0,LY,1547321223,72,31.86,10.98,38.82,6.06
La Asuncion,76,EC,1547321223,97,-1.64,-78.74,53.63,1.92
Tasiilaq,75,GL,1547315400,67,65.61,-37.64,17.6,16.11
Maragogi,80,BR,1547321224,95,-9.01,-35.22,77.84,10.2
Zhezkazgan,56,KZ,1547321224,76,47.8,67.71,4.67,7.96
Qasigiannguit,40,GL,1547319000,48,68.82,-51.19,-5.81,8.05
Walvis Bay,0,NA,1547316000,72,-22.95,14.51,68.0,14.99
Pevek,0,RU,1547321035,58,69.7,170.27,-19.73,6.4
Clyde River,20,CA,1547316000,73,70.47,-68.59,-29.21,6.93
Shingu,8,JP,1547320931,100,33.72,135.99,47.82,8.41
Kenai,40,US,1547319360,72,60.55,-151.26,3.92,9.17
Ternate,75,PH,1547319600,74,14.29,120.72,80.6,4.7
Lata,92,IN,1547320167,100,30.78,78.62,32.75,1.48
Ponta do Sol,68,BR,1547319026,66,-20.63,-46.0,83.33,3.83
Prieska,0,ZA,1547321227,17,-29.67,22.74,78.02,8.75
Bambous Virieux,40,MU,1547319600,74,-20.34,57.76,80.6,12.75
Tazmalt,75,DZ,1547319600,87,36.39,4.4,46.4,11.41
Husavik,68,CA,1547321054,89,50.56,-96.99,15.87,6.62
Broken Hill,0,AU,1547319600,29,-31.97,141.45,75.2,21.92
Aklavik,40,CA,1547316360,68,68.22,-135.01,-20.21,9.17
Porto Walter,88,BR,1547321228,96,-8.27,-72.74,74.01,3.04
Saint George,75,GR,1547315400,69,39.45,22.34,37.4,0.58
Champerico,5,MX,1547318400,45,16.38,-93.6,84.2,3.04
Grindavik,90,IS,1547319600,100,63.84,-22.43,33.8,4.7
Tumsar,0,IN,1547321229,82,21.38,79.75,60.6,6.62
Altay,20,CN,1547321230,81,47.83,88.13,1.7,2.26
Millau,90,FR,1547319600,93,44.1,3.08,37.4,14.99
Sokoni,56,CD,1547321230,95,-12.89,28.78,69.69,3.94
Saskylakh,0,RU,1547321230,0,71.97,114.09,-53.16,4.72
Richards Bay,0,ZA,1547321231,83,-28.77,32.06,72.62,4.94
Collie,24,AU,1547321231,45,-33.36,116.15,72.39,10.65
Mount Gambier,0,AU,1547316000,87,-37.83,140.78,53.6,10.29
Kruisfontein,0,ZA,1547319653,82,-34.0,24.73,65.6,11.43
Atar,0,MR,1547319210,9,20.52,-13.05,80.45,4.72
Cabo San Lucas,5,MX,1547318520,64,22.89,-109.91,78.8,5.82
Cibeureum,20,ID,1547321232,96,-6.73,106.95,69.24,2.37
Bryansk,76,RU,1547321232,83,53.24,34.37,15.51,10.31
Vila Velha,20,BR,1547319600,78,-3.71,-38.6,82.4,8.05
Yuci,0,CN,1547319600,72,37.68,112.73,12.2,2.24
Ordzhonikidze,68,UA,1547321233,100,44.96,35.36,38.33,5.17
Yaan,12,NG,1547321233,26,7.38,8.57,86.75,6.4
Cockburn Town,68,TC,1547321233,100,21.46,-71.14,78.24,18.25
Kavieng,64,PG,1547321234,100,-2.57,150.8,82.02,11.65
Dunedin,56,NZ,1547319249,96,-45.87,170.5,44.0,3.49
Orchard Homes,90,US,1547319180,91,46.86,-114.05,21.92,2.26
Gibsons,40,CA,1547319600,75,49.4,-123.51,46.4,6.62
Necochea,0,AR,1547321235,67,-38.55,-58.74,81.89,12.77
Jerantut,8,MY,1547321235,99,3.94,102.37,68.93,2.04
Khatanga,48,RU,1547319283,46,71.98,102.47,-28.64,13.44
Soderhamn,20,SE,1547321040,82,61.3,17.06,24.47,2.48
Halifax,75,CA,1547319600,66,44.65,-63.58,14.0,13.87
Yulara,0,AU,1547316000,25,-25.24,130.99,86.0,9.17
Thompson,75,CA,1547319600,78,55.74,-97.86,8.6,11.41
Yeppoon,12,AU,1547319600,78,-23.13,150.74,71.6,6.93
Pontes e Lacerda,56,BR,1547321237,85,-15.23,-59.33,85.4,3.94
Baracoa,92,CU,1547321238,98,20.35,-74.5,77.7,12.21
Puerto del Rosario,20,ES,1547319600,77,28.5,-13.86,64.4,6.93
Hithadhoo,12,MV,1547319198,100,-0.6,73.08,82.02,2.59
Radishchevo,80,RU,1547321238,94,52.85,47.87,29.82,11.99
Auburn,75,US,1547320500,65,32.61,-85.48,56.48,7.4
Saint Anthony,1,US,1547319360,76,43.97,-111.68,17.06,3.36
Constitucion,5,MX,1547318700,38,23.99,-104.67,59.0,4.16
Havelock,90,US,1547319480,62,34.88,-76.9,46.04,9.17
Kon Tum,32,VN,1547321240,98,14.36,108.0,60.2,2.37
Waingapu,12,ID,1547321240,99,-9.65,120.26,73.79,2.93
Chipinge,8,ZW,1547321240,61,-20.19,32.62,81.12,4.38
Chuy,76,UY,1547319304,87,-33.69,-53.46,75.0,13.67
Pathein,56,MM,1547321241,86,16.78,94.73,72.66,6.73
Dwarka,40,IN,1547319600,81,28.58,77.04,51.8,2.24
Tashara,24,RU,1547321241,42,55.52,83.51,-13.43,3.04
Mahibadhoo,88,MV,1547321242,100,3.78,72.97,81.84,12.66
Rabo de Peixe,75,PT,1547317800,82,37.8,-25.58,60.8,13.87
Luoyang,0,CN,1547321242,65,34.66,112.42,21.36,4.94
Pundaguitan,68,PH,1547321243,100,6.37,126.17,79.64,10.98
Terney,0,RU,1547321243,100,45.05,136.61,17.63,7.07
Lagoa,0,PT,1547316000,62,37.14,-8.45,53.6,6.93
Evans,1,US,1547320500,52,40.38,-104.69,42.26,5.17
Bismarck,90,US,1547320500,100,46.81,-100.78,17.06,10.29
Hofn,92,IS,1547319551,100,64.25,-15.21,35.31,10.76
Katsuura,40,JP,1547316000,86,33.93,134.5,39.2,9.17
Lazurne,88,UA,1547321244,92,46.77,34.99,26.0,7.74
Pelym,64,RU,1547321245,79,61.01,62.0,8.4,7.18
Tilichiki,8,RU,1547321245,69,60.47,166.1,-9.96,3.94
Dondo,20,MZ,1547319600,83,-19.62,34.74,84.2,6.85
Eau Claire,90,US,1547320500,66,44.81,-91.5,30.92,10.29
Invermere,48,CA,1547321246,78,50.51,-116.03,16.1,0.58
Along,0,IN,1547321246,49,28.17,94.8,48.36,2.59
Kodiak,90,US,1547318100,100,39.95,-94.76,32.0,12.75
Sitka,76,US,1547319669,89,37.17,-99.65,34.95,18.03
Saint-Joseph,0,FR,1547319600,68,43.56,6.97,46.4,4.7
Mokhsogollokh,12,RU,1547321248,0,61.4,128.95,-28.82,2.37
Glace Bay,90,CA,1547319600,72,46.2,-59.96,14.0,12.75
Kawalu,64,ID,1547321248,99,-7.38,108.21,68.34,2.15
Namibe,0,AO,1547321248,100,-15.19,12.15,75.14,11.54
Minab,36,IR,1547319600,18,27.15,57.07,64.4,2.24
Mahebourg,40,MU,1547316000,78,-20.41,57.7,80.6,14.99
Iqaluit,40,CA,1547318640,67,63.75,-68.52,-23.81,24.16
Nhulunbuy,75,AU,1547319600,94,-12.18,136.78,80.6,3.36
Homer,90,US,1547319180,84,59.64,-151.54,21.02,3.36
Torbay,75,CA,1547316000,93,47.66,-52.73,32.0,12.75
Bagdarin,24,RU,1547321251,25,54.44,113.59,-20.31,2.59
Hambantota,40,LK,1547316600,100,6.12,81.12,77.0,9.17
Havre-Saint-Pierre,90,CA,1547319600,73,50.23,-63.6,26.6,6.93
